THORAX,SLEEP,PARTNERS_0,PARTNERS_1,PARTNERS_8,TYPE_0,TYPE_1,TYPE_9,binaryClass
35,0.64,0,0,1,1,0,0,P
37,0.68,0,0,1,1,0,0,P
49,0.68,0,0,1,1,0,0,N
46,0.72,0,0,1,1,0,0,P
63,0.72,0,0,1,1,0,0,P
39,0.76,0,0,1,1,0,0,N
46,0.76,0,0,1,1,0,0,P
56,0.76,0,0,1,1,0,0,P
63,0.76,0,0,1,1,0,0,P
65,0.76,0,0,1,1,0,0,N
56,0.8,0,0,1,1,0,0,P
65,0.8,0,0,1,1,0,0,P
70,0.8,0,0,1,1,0,0,N
63,0.84,0,0,1,1,0,0,N
65,0.84,0,0,1,1,0,0,N
70,0.84,0,0,1,1,0,0,P
77,0.84,0,0,1,1,0,0,P
81,0.84,0,0,1,1,0,0,P
86,0.84,0,0,1,1,0,0,P
70,0.88,0,0,1,1,0,0,N
70,0.88,0,0,1,1,0,0,P
77,0.92,0,0,1,1,0,0,N
77,0.92,0,0,1,1,0,0,N
81,0.92,0,0,1,1,0,0,N
77,0.94,0,0,1,1,0,0,N
40,0.64,1,0,0,0,0,1,P
37,0.7,1,0,0,0,0,1,P
44,0.72,1,0,0,0,0,1,P
47,0.72,1,0,0,0,0,1,P
47,0.72,1,0,0,0,0,1,P
47,0.76,1,0,0,0,0,1,P
68,0.78,1,0,0,0,0,1,N
47,0.8,1,0,0,0,0,1,P
54,0.84,1,0,0,0,0,1,N
61,0.84,1,0,0,0,0,1,P
71,0.84,1,0,0,0,0,1,P
75,0.84,1,0,0,0,0,1,P
89,0.84,1,0,0,0,0,1,P
58,0.88,1,0,0,0,0,1,N
59,0.88,1,0,0,0,0,1,N
62,0.88,1,0,0,0,0,1,P
79,0.88,1,0,0,0,0,1,N
96,0.88,1,0,0,0,0,1,N
58,0.92,1,0,0,0,0,1,N
62,0.92,1,0,0,0,0,1,P
70,0.92,1,0,0,0,0,1,N
72,0.92,1,0,0,0,0,1,P
75,0.92,1,0,0,0,0,1,P
96,0.92,1,0,0,0,0,1,P
75,0.94,1,0,0,0,0,1,N
46,0.64,0,1,0,1,0,0,P
42,0.68,0,1,0,1,0,0,P
65,0.72,0,1,0,1,0,0,P
46,0.76,0,1,0,1,0,0,N
58,0.76,0,1,0,1,0,0,P
42,0.8,0,1,0,1,0,0,N
48,0.8,0,1,0,1,0,0,N
58,0.8,0,1,0,1,0,0,N
50,0.82,0,1,0,1,0,0,P
80,0.82,0,1,0,1,0,0,P
63,0.84,0,1,0,1,0,0,P
65,0.84,0,1,0,1,0,0,P
70,0.84,0,1,0,1,0,0,P
70,0.84,0,1,0,1,0,0,P
72,0.84,0,1,0,1,0,0,N
97,0.84,0,1,0,1,0,0,P
46,0.88,0,1,0,1,0,0,P
56,0.88,0,1,0,1,0,0,N
70,0.88,0,1,0,1,0,0,P
70,0.88,0,1,0,1,0,0,P
72,0.88,0,1,0,1,0,0,N
76,0.88,0,1,0,1,0,0,P
90,0.88,0,1,0,1,0,0,P
76,0.92,0,1,0,1,0,0,N
92,0.92,0,1,0,1,0,0,N
21,0.68,0,1,0,0,1,0,P
40,0.68,0,1,0,0,1,0,N
44,0.72,0,1,0,0,1,0,N
54,0.76,0,1,0,0,1,0,P
36,0.78,0,1,0,0,1,0,P
40,0.8,0,1,0,0,1,0,N
56,0.8,0,1,0,0,1,0,P
60,0.8,0,1,0,0,1,0,N
48,0.84,0,1,0,0,1,0,P
53,0.84,0,1,0,0,1,0,N
60,0.84,0,1,0,0,1,0,P
60,0.84,0,1,0,0,1,0,P
65,0.84,0,1,0,0,1,0,P
68,0.84,0,1,0,0,1,0,N
60,0.88,0,1,0,0,1,0,P
81,0.88,0,1,0,0,1,0,P
81,0.88,0,1,0,0,1,0,P
48,0.9,0,1,0,0,1,0,N
48,0.9,0,1,0,0,1,0,P
56,0.9,0,1,0,0,1,0,P
68,0.9,0,1,0,0,1,0,N
75,0.9,0,1,0,0,1,0,P
81,0.9,0,1,0,0,1,0,P
48,0.92,0,1,0,0,1,0,N
68,0.92,0,1,0,0,1,0,P
16,0.64,0,0,1,0,1,0,N
19,0.64,0,0,1,0,1,0,P
19,0.68,0,0,1,0,1,0,P
32,0.72,0,0,1,0,1,0,P
33,0.72,0,0,1,0,1,0,N
33,0.74,0,0,1,0,1,0,N
30,0.76,0,0,1,0,1,0,P
42,0.76,0,0,1,0,1,0,N
42,0.76,0,0,1,0,1,0,P
33,0.78,0,0,1,0,1,0,N
26,0.8,0,0,1,0,1,0,P
30,0.8,0,0,1,0,1,0,N
40,0.82,0,0,1,0,1,0,P
54,0.82,0,0,1,0,1,0,P
34,0.84,0,0,1,0,1,0,P
34,0.84,0,0,1,0,1,0,N
47,0.84,0,0,1,0,1,0,N
47,0.84,0,0,1,0,1,0,P
42,0.88,0,0,1,0,1,0,N
47,0.88,0,0,1,0,1,0,N
54,0.88,0,0,1,0,1,0,N
54,0.88,0,0,1,0,1,0,P
56,0.88,0,0,1,0,1,0,P
60,0.88,0,0,1,0,1,0,P
44,0.92,0,0,1,0,1,0,P
